Time,X,Y,Vx,Vy,Speed,Fuel,Mass,Angle,Stage
0.000000,0.000001,0.000687,0.000001,0.068568,0.068568,0.149850,0.300000,1.570796,1
0.010000,0.000001,0.002059,0.000001,0.137218,0.137218,0.149700,0.299850,1.570796,1
0.020000,0.000001,0.004118,0.000001,0.205951,0.205951,0.149550,0.299700,1.570796,1
0.030000,0.000001,0.006866,0.000001,0.274767,0.274767,0.149400,0.299550,1.570796,1
0.040000,0.000001,0.010303,0.000001,0.343667,0.343667,0.149250,0.299400,1.570796,1
0.050000,0.000001,0.014429,0.000001,0.412650,0.412650,0.149100,0.299250,1.570796,1
0.060000,0.000001,0.019246,0.000001,0.481716,0.481716,0.148950,0.299100,1.570796,1
0.070000,0.000001,0.024755,0.000001,0.550866,0.550866,0.148800,0.298950,1.570796,1
0.080000,0.000001,0.030956,0.000001,0.620098,0.620098,0.148650,0.298800,1.570796,1
0.090000,0.000001,0.037850,0.000001,0.689414,0.689414,0.148500,0.298650,1.570796,1
0.100000,0.000001,0.045438,0.000001,0.758813,0.758813,0.148350,0.298500,1.570796,1
0.110000,0.000001,0.053721,0.000001,0.828294,0.828294,0.148200,0.298350,1.570796,1
0.120000,0.000001,0.062700,0.000001,0.897859,0.897859,0.148050,0.298200,1.570796,1
0.130000,0.000001,0.072375,0.000001,0.967507,0.967507,0.147900,0.298050,1.570796,1
0.140000,0.000001,0.082747,0.000001,1.037238,1.037238,0.147750,0.297900,1.570796,1
0.150000,0.000001,0.093818,0.000001,1.107051,1.107051,0.147600,0.297750,1.570796,1
0.160000,0.000001,0.105587,0.000001,1.176948,1.176948,0.147450,0.297600,1.570796,1
0.170000,0.000001,0.118057,0.000001,1.246927,1.246927,0.147300,0.297450,1.570796,1
0.180000,0.000001,0.131226,0.000001,1.316989,1.316989,0.147150,0.297300,1.570796,1
0.190000,0.000001,0.145098,0.000001,1.387134,1.387134,0.147000,0.297150,1.570796,1
0.200000,0.000001,0.159671,0.000001,1.457362,1.457362,0.146850,0.297000,1.570796,1
0.210000,0.000001,0.174948,0.000001,1.527672,1.527672,0.146700,0.296850,1.570796,1
0.220000,0.000001,0.190929,0.000001,1.598066,1.598066,0.146550,0.296700,1.570796,1
0.230000,0.000001,0.207614,0.000001,1.668541,1.668541,0.146400,0.296550,1.570796,1
0.240000,0.000001,0.225005,0.000001,1.739100,1.739100,0.146250,0.296400,1.570796,1
0.250000,0.000001,0.243103,0.000001,1.809741,1.809741,0.146100,0.296250,1.570796,1
0.260000,0.000001,0.261907,0.000001,1.880464,1.880464,0.145950,0.296100,1.570796,1
0.270000,0.000001,0.281420,0.000001,1.951271,1.951271,0.145800,0.295950,1.570796,1
0.280000,0.000001,0.301642,0.000001,2.022159,2.022159,0.145650,0.295800,1.570796,1
0.290000,0.000001,0.322573,0.000001,2.093130,2.093130,0.145500,0.295650,1.570796,1
0.300000,0.000001,0.344215,0.000001,2.164184,2.164184,0.145350,0.295500,1.570796,1
0.310000,0.000001,0.366568,0.000001,2.235319,2.235319,0.145200,0.295350,1.570796,1
0.320000,0.000001,0.389633,0.000001,2.306538,2.306538,0.145050,0.295200,1.570796,1
0.330000,0.000001,0.413412,0.000001,2.377838,2.377838,0.144900,0.295050,1.570796,1
0.340000,0.000001,0.437904,0.000001,2.449221,2.449221,0.144750,0.294900,1.570796,1
0.350000,0.000001,0.463111,0.000001,2.520685,2.520685,0.144600,0.294750,1.570796,1
0.360000,0.000001,0.489033,0.000001,2.592232,2.592232,0.144450,0.294600,1.570796,1
0.370000,0.000001,0.515672,0.000001,2.663862,2.663862,0.144300,0.294450,1.570796,1
0.380000,0.000001,0.543027,0.000001,2.735573,2.735573,0.144150,0.294300,1.570796,1
0.390000,0.000001,0.571101,0.000001,2.807366,2.807366,0.144000,0.294150,1.570796,1
0.400000,0.000001,0.599893,0.000001,2.879241,2.879241,0.143850,0.294000,1.570796,1
0.410000,0.000001,0.629405,0.000001,2.951199,2.951199,0.143700,0.293850,1.570796,1
0.420000,0.000001,0.659638,0.000001,3.023238,3.023238,0.143550,0.293700,1.570796,1
0.430000,0.000001,0.690591,0.000001,3.095359,3.095359,0.143400,0.293550,1.570796,1
0.440000,0.000001,0.722267,0.000001,3.167561,3.167561,0.143250,0.293400,1.570796,1
0.450000,0.000001,0.754665,0.000001,3.239846,3.239846,0.143100,0.293250,1.570796,1
0.460000,0.000001,0.787788,0.000001,3.312212,3.312212,0.142950,0.293100,1.570796,1
0.470000,0.000001,0.821634,0.000001,3.384660,3.384660,0.142800,0.292950,1.570796,1
